INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,ADM_RATE,SAT_AVG,CURROPER,ADDR,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
J F Ingram State Technical College,Deatsville,AL,www.istc.edu/,1,1,Not Available,Not Available,1,5375 Ingram Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.3154,0.1648,0.0,0.0,0.0,0.1537,0.0
Jacksonville State University,Jacksonville,AL,www.jsu.edu/,3,4,0.7846,1055.0,1,700 Pelham Road North,0.0,0.0,0.0,0.0,0.0325,0.0,0.0304,0.0,0.0926,0.0,0.036,0.0007,0.017,0.0,0.017,0.0749,0.0,0.0516,0.0049,0.0,0.0,0.0163,0.0,0.0,0.0057,0.0,0.0254,0.0686,0.0311,0.0155,0.0,0.0,0.0,0.0,0.0516,0.277,0.135,0.0163
Jefferson State Community College,Birmingham,AL,www.jeffersonstate.edu/,2,2,Not Available,Not Available,1,2601 Carson Rd,0.0139,0.0,0.0,0.0,0.0,0.0,0.0563,0.0533,0.0,0.0,0.0902,0.0,0.0278,0.0,0.0,0.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1864,0.0999,0.0
John C Calhoun State Community College,Tanner,AL,https://calhoun.edu/,1,2,Not Available,Not Available,1,6250 U S Highway 31 N,0.0024,0.0,0.0,0.0,0.0,0.0,0.0936,0.0,0.0,0.0,0.1665,0.0,0.0058,0.0,0.0,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0187,0.0003,0.0,0.0101,0.1242,0.0695,0.0
Lawson State Community College,Birmingham,AL,www.lawsonstate.edu/,1,2,Not Available,Not Available,1,3060 Wilson Rd SW,0.0,0.0,0.0,0.0,0.0,0.0049,0.0394,0.0509,0.0,0.0,0.1691,0.0,0.0493,0.0,0.0,0.2594,0.0,0.0,0.0,0.0,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.023,0.0854,0.0328,0.0,0.0115,0.1724,0.0722,0.0
University of West Alabama,Livingston,AL,www.uwa.edu/,3,4,0.6886,1015.0,1,Station One,0.0,0.0,0.0,0.0,0.0594,0.0,0.0,0.0,0.1918,0.0,0.0411,0.0,0.0,0.0,0.016,0.0,0.0,0.032,0.0183,0.0,0.1667,0.0685,0.0,0.0,0.0068,0.0,0.0639,0.0205,0.0,0.0251,0.0,0.0068,0.0,0.0,0.0,0.1438,0.1301,0.0091
Lurleen B Wallace Community College,Andalusia,AL,https://www.lbwcc.edu/,2,2,Not Available,Not Available,1,1000 Dannelly Blvd.,0.0,0.024,0.0,0.0,0.0,0.0,0.0074,0.0887,0.0,0.0,0.0037,0.0,0.0185,0.0,0.0,0.2976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682,0.1238,0.0,0.0,0.2477,0.0203,0.0
Marion Military Institute,Marion,AL,www.marionmilitary.edu/,2,2,0.627,Not Available,1,1101 Washington St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miles College,Fairfield,AL,www.miles.edu/,3,3,Not Available,Not Available,1,5500 Myron Massey Blvd,0.0,0.0054,0.0,0.0,0.0645,0.0,0.0484,0.0,0.0054,0.0,0.0,0.0,0.0484,0.0,0.0161,0.0,0.0,0.1022,0.0054,0.0,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,0.1828,0.1022,0.0484,0.0,0.0,0.0,0.0,0.0645,0.0,0.2849,0.0108
University of Mobile,Mobile,AL,www.umobile.edu/,3,4,0.8408,1220.0,1,5735 College Parkway,0.0,0.0,0.0,0.0,0.061,0.0,0.0047,0.0,0.0845,0.0,0.0,0.0,0.0188,0.0,0.0235,0.0235,0.0,0.0282,0.0141,0.0,0.0235,0.0704,0.0282,0.0329,0.0,0.0,0.0563,0.0,0.0,0.0423,0.0,0.0,0.0,0.0,0.0892,0.1643,0.2207,0.0141
University of Montevallo,Montevallo,AL,www.montevallo.edu/,3,4,0.5984,Not Available,1,Station 6001,0.0,0.0266,0.0,0.0,0.0386,0.0,0.0145,0.0,0.1087,0.0,0.0,0.0072,0.0338,0.0,0.0725,0.0,0.0,0.0386,0.0169,0.0,0.0048,0.0918,0.0,0.0,0.0145,0.0,0.0773,0.0,0.0386,0.0386,0.0,0.0,0.0,0.0,0.1739,0.0604,0.1232,0.0193
Northwest-Shoals Community College,Muscle Shoals,AL,https://www.nwscc.edu/,1,2,Not Available,Not Available,1,800 George Wallace Blvd,0.0,0.0,0.0,0.0,0.0,0.0,0.0159,0.0333,0.0,0.0,0.0471,0.0,0.0104,0.0,0.0,0.4026,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0783,0.0686,0.1407,0.0,0.0,0.1525,0.0166,0.0
University of North Alabama,Florence,AL,www.una.edu/,3,4,0.9568,Not Available,1,One Harrison Plaza,0.0,0.0,0.0116,0.0,0.0382,0.0,0.0311,0.0009,0.0951,0.0,0.016,0.0098,0.0062,0.0,0.0151,0.0,0.0,0.0427,0.0009,0.0,0.0516,0.0596,0.0,0.0,0.0116,0.0,0.0302,0.0356,0.0347,0.048,0.0,0.0,0.0,0.0,0.0747,0.1653,0.2062,0.0151
Northeast Alabama Community College,Rainsville,AL,https://www.nacc.edu/,1,2,Not Available,Not Available,1,138  Highway 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0568,0.0302,0.0,0.0,0.0683,0.0,0.0204,0.0,0.0,0.2609,0.0,0.0,0.0,0.0,0.2786,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0018,0.0408,0.0346,0.0,0.0,0.1597,0.0382,0.0
Oakwood University,Huntsville,AL,https://www2.oakwood.edu/,3,4,0.6805,Not Available,1,7000 Adventist Blvd NW,0.0,0.0,0.0,0.0,0.0531,0.0,0.0088,0.0,0.0177,0.0,0.0,0.0177,0.0088,0.0,0.0133,0.1416,0.0,0.2212,0.0265,0.0,0.0,0.0,0.0,0.0708,0.0044,0.0,0.0354,0.0,0.0575,0.0221,0.0,0.0,0.0,0.0,0.0177,0.1283,0.1549,0.0
Reid State Technical College,Evergreen,AL,www.rstc.edu/,1,2,Not Available,Not Available,1,100 and Hwy 83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933,0.0756,0.0,0.0,0.5798,0.0336,0.0
Bishop State Community College,Mobile,AL,www.bishop.edu/,1,2,Not Available,Not Available,1,351 North Broad Street,0.0,0.0,0.0,0.0,0.0,0.0246,0.0108,0.0507,0.0,0.0,0.0384,0.0,0.0384,0.0,0.0,0.1767,0.0,0.0,0.0,0.0,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0123,0.0276,0.3287,0.0,0.235,0.0046,0.0
Samford University,Birmingham,AL,www.samford.edu/,3,4,0.8326,1227.0,1,800 Lakeshore Drive,0.0,0.0036,0.0012,0.0,0.0668,0.0,0.0119,0.0,0.037,0.0,0.0,0.0084,0.0501,0.0072,0.0286,0.0012,0.0,0.031,0.0036,0.0,0.0048,0.0203,0.0048,0.0107,0.0024,0.0,0.0453,0.0,0.0036,0.0251,0.0,0.0,0.0,0.0,0.0656,0.3675,0.1838,0.0155
Selma University,Selma,AL,https://selmauniversity.edu/,3,3,Not Available,Not Available,1,"1501 Boynton St, Dinkins Hall",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0
Shelton State Community College,Tuscaloosa,AL,www.sheltonstate.edu/,2,2,Not Available,Not Available,1,9500 Old Greensboro Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0598,0.0,0.0,0.0246,0.0,0.0152,0.0,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.177,0.0926,0.0,0.0,0.2392,0.0985,0.0
Snead State Community College,Boaz,AL,www.snead.edu/,2,2,Not Available,Not Available,1,102 Elder Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0953,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.6578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0766,0.0,0.0,0.0,0.0609,0.0969,0.0
University of South Alabama,Mobile,AL,www.southalabama.edu/,3,4,0.6536,1118.0,1,307 N University Blvd,0.0,0.0,0.0,0.0,0.0261,0.0,0.0492,0.0,0.1076,0.0784,0.0,0.0041,0.0,0.0,0.0092,0.0,0.0,0.0764,0.0067,0.0,0.0415,0.021,0.0036,0.0,0.0128,0.0,0.0431,0.02,0.0154,0.0205,0.0,0.0,0.0,0.0,0.0282,0.3091,0.1194,0.0077
Spring Hill College,Mobile,AL,https://www.shc.edu/,3,4,0.7263,1094.0,1,4000 Dauphin St,0.0,0.0,0.0,0.0,0.0596,0.0,0.0,0.0,0.0367,0.0,0.0,0.0,0.0,0.0,0.0229,0.0413,0.0,0.0917,0.0229,0.0,0.0,0.0,0.0229,0.0,0.0046,0.0,0.0596,0.0,0.0,0.1055,0.0,0.0,0.0,0.0,0.055,0.1422,0.3211,0.0138
Stillman College,Tuscaloosa,AL,https://stillman.edu/,3,3,0.6454,Not Available,1,3601 Stillman Boulevard,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.28,0.02
Talladega College,Talladega,AL,www.talladega.edu/,3,4,Not Available,Not Available,1,627 West Battle Street,0.0,0.0,0.0,0.0,0.0523,0.0,0.0523,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0784,0.0065,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.183,0.1046,0.0261,0.1046,0.0,0.0,0.0,0.0,0.0196,0.0,0.3399,0.0
H Councill Trenholm State Community College,Montgomery,AL,www.trenholmstate.edu/,2,2,Not Available,Not Available,1,1225 Air Base Blvd,0.0,0.0,0.0,0.0,0.0,0.083,0.0692,0.0761,0.0,0.0,0.1522,0.0,0.045,0.0,0.0,0.1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277,0.0727,0.0104,0.0,0.0,0.308,0.0381,0.0
Troy University,Troy,AL,www.troy.edu/,3,4,0.9484,1050.0,1,University Avenue,0.0,0.0035,0.0,0.0,0.0441,0.0,0.0567,0.0,0.0618,0.0,0.0028,0.0031,0.0,0.0,0.0118,0.0799,0.0,0.0311,0.0028,0.0,0.0606,0.0236,0.0,0.0,0.0031,0.0,0.1051,0.0606,0.0866,0.0441,0.0,0.0,0.0,0.0,0.0177,0.0945,0.1964,0.0102
Tuskegee University,Tuskegee,AL,www.tuskegee.edu/,3,4,0.2969,1091.0,1,"Kresge Center, 3rd Floor",0.1517,0.0124,0.0224,0.0,0.0174,0.0,0.0398,0.0,0.0174,0.1692,0.0,0.0,0.0199,0.0,0.0124,0.0,0.0,0.0846,0.005,0.0,0.0,0.0,0.0,0.0,0.0124,0.0,0.0448,0.0,0.0075,0.0299,0.0398,0.0,0.0,0.0,0.005,0.2015,0.1045,0.0025
United States Sports Academy,Daphne,AL,www.ussa.edu/,3,4,1.0,Not Available,1,One Academy Drive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bevill State Community College,Jasper,AL,www.bscc.edu/,1,2,Not Available,Not Available,1,1411 Indiana Avenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,0.01,0.0,0.0,0.0358,0.0,0.03,0.0,0.0,0.1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1292,0.0183,0.1233,0.1725,0.0,0.2983,0.0142,0.0
